Srno,Series_reference,Period,Data_value,Additional
1,MFGQ.SFA1CA,1992.12,2493.37,Data
2,MFGQ.SFA1CA,1993.03,3209.2,Data
3,MFGQ.SFA1CA,1993.06,2780.17,Data
4,MFGQ.SFA1CA,1993.09,1933.01,Data
5,MFGQ.SFA1CA,1993.12,2692.92,Data
6,MFGQ.SFA1CA,1994.03,3079.61,Data
7,MFGQ.SFA1CA,1994.06,2668.49,Data
8,MFGQ.SFA1CA,1994.09,1812.22,Data
9,MFGQ.SFA1CA,1994.12,2916.07,Data
10,MFGQ.SFA1CA,1995.03,3119.33,Data
11,MFGQ.SFA1CA,1995.06,2674.09,Data
12,MFGQ.SFA1CA,1995.09,2023.88,Data
13,MFGQ.SFA1CA,1995.12,3087.45,Data
14,MFGQ.SFA1CA,1996.03,3698.42,Data
15,MFGQ.SFA1CA,1996.06,3008.7,Data
